id,casrn,tri_chemical_id,srs_id,casrn,source_chemical_name,tri_chemical_name,Other common names,NJ Right to Know FactSheet (URL),Carcinogens,Carcinogenicity source,Developmental or Reproductive Toxicants,Developmental / Reproductive Toxicity sources,Mutagens,Mutagen source,Neurotoxicants,Neuro source,Endocrine Disruptors,Endocrine Source,Asthmagens,Asthmagen Source
9ab8b760-cb59-4f1f-8e21-b997ace61ecd,111-44-4,111444,27532,111-44-4,Bis(2-chloroethyl) ether,Bis(2-chloroethyl) ether,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0232.pdf,Yes,S4,,,,,,,,,Yes,S8
9ab8b758-c249-4a99-8f10-385489d1f261,111-91-1,111911,27987,111-91-1,Bis(2-chloroethoxy)methane,Bis(2-chloroethoxy)methane,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/2971.pdf,,,,,,,,,,,,
9ab8c3a8-12b5-47a1-9eb8-3f2d5c522ae8,1114-71-2,1114712,,1114-71-2,Pebulate,,,,,,,,,,,,,,,
9ab8bc20-a6d0-499b-821e-6b178477d961,111512-56-2,111512562,,111512-56-2,"1,1-Dichloro-1,2,3,3,3-pentafluoropropane (HCFC-225eb)",,,,,,,,,,,,,,,
9ab8bd45-77fb-4171-90f6-d1a4d7f1b268,111984-09-9,111984099,,111984-09-9,"3,3'-Dimethoxybenzidine monohydrochloride",,,,Yes,S18,,,,,,,,,,
9ab8c4cc-c432-45a5-bd5d-f644d802ce12,1120-71-4,1120714,79012,1120-71-4,"1,3-Propane sultone","1,3-Propane sultone",,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1446.pdf,Yes," S11, S16, S19, S18",,,,,,,,,,
9ab8ba89-ec05-437a-9d74-e765708b1212,1134-23-2,1134232,79624,1134-23-2,Cycloate,Cycloate,,,,,Yes,S4,,,,,,,,
9ab8c50d-d443-4f02-8177-0f52ed256297,114-26-1,114261,28928,114-26-1,Propoxur,Propoxur,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1604.pdf,Yes,S4,,,,,Yes ,S7 ,Yes,S3,Yes,S8
9ab8c515-e05e-47a3-ab26-53746ec51d48,0115-07-01,115071,29009,115-07-01,Propylene,Propylene,,,,,,,,,,,Yes,S3,,
9ab8b91a-1d25-4cb2-9434-507a1ca0e472,115-28-6,115286,,115-28-6,Chlorendic acid,,,,Yes,"S4, S16, S18",,,,,,,,,,
9ab8bcd3-cb0f-4764-8a23-2df1ed2491b8,115-32-2,115322,29157,115-32-2,Dicofol,Dicofol,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/0675.pdf,,,,,,,,,Yes,S3,,
9ab8b5eb-6a9a-4a8f-9da5-83d23dce98d4,0116-06-03,116063,29363,116-06-03,Aldicarb,Aldicarb,,,,,,,,,Yes ,S7 ,Yes,S3,,
9ab8c64b-6fb1-4e8d-adf1-b782b2b426a8,116-14-3,116143,29397,116-14-3,Tetrafluoroethylene (Tetrafluoroethene),Tetrafluoroethylene,,https://www.nj.gov/health/eoh/rtkweb/documents/fs/1819.pdf,Yes,"S4,  S11, S14,S16, S19, S18",,,,,,,,,,
